,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
562,0.652,0.877,1,-2.986,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,audio_features,5T7ZFtCcOgkpjxcuaeZbw0,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/tracks/5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/audio-analysis/5T7ZFtCcOgkpjxcuaeZbw0,200107,4
563,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,audio_features,3fVnlF4pGqWI9flVENcT28,spotify:track:3fVnlF4pGqWI9flVENcT28,https://api.spotify.com/v1/tracks/3fVnlF4pGqWI9flVENcT28,https://api.spotify.com/v1/audio-analysis/3fVnlF4pGqWI9flVENcT28,220440,4
564,0.811,0.758,7,-5.638,1,0.0277,0.0773,0.000187,0.0768,0.736,130.028,audio_features,2alijxLnR0RCiJ5JvzhDuT,spotify:track:2alijxLnR0RCiJ5JvzhDuT,https://api.spotify.com/v1/tracks/2alijxLnR0RCiJ5JvzhDuT,https://api.spotify.com/v1/audio-analysis/2alijxLnR0RCiJ5JvzhDuT,195453,4
565,0.67,0.704,6,-5.333,1,0.0296,0.0734,0.0,0.147,0.542,132.062,audio_features,3Ws8j16fKE1jj74XksiyV6,spotify:track:3Ws8j16fKE1jj74XksiyV6,https://api.spotify.com/v1/tracks/3Ws8j16fKE1jj74XksiyV6,https://api.spotify.com/v1/audio-analysis/3Ws8j16fKE1jj74XksiyV6,202947,4
566,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587,4
567,0.645,0.722,5,-4.574,0,0.0291,0.32,0.0,0.171,0.407,92.014,audio_features,2ZoO0uLQRp2WhTlyIH8PJf,spotify:track:2ZoO0uLQRp2WhTlyIH8PJf,https://api.spotify.com/v1/tracks/2ZoO0uLQRp2WhTlyIH8PJf,https://api.spotify.com/v1/audio-analysis/2ZoO0uLQRp2WhTlyIH8PJf,227520,4
568,0.589,0.389,0,-5.972,1,0.028,0.851,0.0,0.0772,0.501,89.1,audio_features,3B5UbSndRz907IZhhmUfLi,spotify:track:3B5UbSndRz907IZhhmUfLi,https://api.spotify.com/v1/tracks/3B5UbSndRz907IZhhmUfLi,https://api.spotify.com/v1/audio-analysis/3B5UbSndRz907IZhhmUfLi,197470,4
569,0.601,0.843,0,-4.87,1,0.0593,0.000704,5.27e-05,0.0681,0.534,128.002,audio_features,6QFCMUUq1T2Vf5sFUXcuQ7,spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7,https://api.spotify.com/v1/tracks/6QFCMUUq1T2Vf5sFUXcuQ7,https://api.spotify.com/v1/audio-analysis/6QFCMUUq1T2Vf5sFUXcuQ7,227987,4
570,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,audio_features,1hRFVIy9As8OVRk8B7CrD5,spotify:track:1hRFVIy9As8OVRk8B7CrD5,https://api.spotify.com/v1/tracks/1hRFVIy9As8OVRk8B7CrD5,https://api.spotify.com/v1/audio-analysis/1hRFVIy9As8OVRk8B7CrD5,191000,4
571,0.714,0.952,4,-3.622,1,0.0894,0.0073,0.0,0.387,0.959,127.008,audio_features,2iblMMIgSznA464mNov7A8,spotify:track:2iblMMIgSznA464mNov7A8,https://api.spotify.com/v1/tracks/2iblMMIgSznA464mNov7A8,https://api.spotify.com/v1/audio-analysis/2iblMMIgSznA464mNov7A8,206120,4
572,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,audio_features,7yq4Qj7cqayVTp3FF9CWbm,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,204280,4
573,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,audio_features,7m9OqQk4RVRkw9JJdeAw96,spotify:track:7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133,4
